domain,count,quality_score,company_hits,ai_hits,media_hits
shkspr.mobi,2,3.0,2,0,0
technode.com,2,3.0,2,0,0
pandaily.com,2,2.5,1,1,0
wired.com,10,2.4,4,1,10
news.google.com,50,2.28,38,0,0
bloomberg.com,18,2.17,4,5,17
techcrunch.com,9,2.0,2,3,6
asia.nikkei.com,1,2.0,0,1,0
berthub.eu,1,2.0,0,1,0
venturebeat.com,1,2.0,0,1,0
e27.co,1,2.0,0,1,0
pluralistic.net,1,2.0,0,1,0
theverge.com,5,1.8,0,3,3
techbuzz.ai,9,1.78,2,5,0
scmp.com,48,1.75,16,18,0
gizmodo.com,7,1.43,0,2,6
simonwillison.net,6,1.0,2,0,0
engadget.com,4,1.0,0,1,2
reuters.com,2,0.0,0,0,0
theinformation.com,2,0.0,0,0,0
nesbitt.io,1,0.0,0,0,0
oldvcr.blogspot.com,1,0.0,0,0,0
joanwestenberg.com,1,0.0,0,0,0
blog.jim-nielsen.com,1,0.0,0,0,0
geohot.github.io,1,0.0,0,0,0
